claim_id,short_claim,canonical_metric,value,unit,time_frame,fact_or_inference,confidence_tag,primary_source,source_url,verification_path,notes
CL-001,2025 TSSS gross budget,Annual operating budget,$897.957M,CAD,2025,FACT,VERIFIED,Toronto Budget Committee Jan 2025,https://www.toronto.ca/city-government/budget-finances/city-budget/,Budget Committee Jan 23 2025 approved,Single largest municipal homelessness budget in Canada
CL-002,Homeless count October 2024,Point-in-time count,15418,persons,October 23 2024,FACT,VERIFIED,City of Toronto 2024 SNA July 2025,https://www.toronto.ca/wp-content/uploads/2025/07/9790-street-needs-assessment-report-2024.pdf,Primary URL fetched,Sixth SNA conducted; record high
CL-003,Chronically homeless rate,Share of shelter users chronically homeless,78,percent,2024-2025,FACT,VERIFIED,TSSS 2025 Budget Notes,https://www.toronto.ca/city-government/budget-finances/city-budget/,Budget notes filed Jan 2025,Chronic = 6+ months in last year or 4+ episodes in 3 years
CL-004,Annual unique shelter users,Flow metric — unique individuals using shelter system per year,21929,persons,2023,FACT,VERIFIED,Toronto Shelter System Flow Dashboard 2024,https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-system-flow-data/,City open data,Exact figure; also expressed as ~22000
CL-005,Unused warming centre bed-nights,Bed-nights funded but unfilled (warming centres),4331,bed-nights,2023/24 winter season,FACT,VERIFIED,Toronto AG Warming Centres 2025 (Tara Anderson),https://www.torontoauditor.ca,AG 2025 report primary,Combined with CL-006 = 12742 total
CL-006,Unused winter respite bed-nights,Bed-nights funded but unavailable (winter respite sites),8411,bed-nights,2023/24 winter season,FACT,VERIFIED,Toronto AG Warming Centres 2025 (Tara Anderson),https://www.torontoauditor.ca,AG 2025 report primary,Part of 12742 total
CL-007,Central Intake unmatched callers winter,Nightly average callers turned away at peak season,174,persons/night,Winter 2023/24,FACT,VERIFIED,Toronto AG Warming Centres 2025 (Tara Anderson),https://www.torontoauditor.ca,AG 2025 report primary,Annual average is 202/night
CL-008,Warming centre cost per night,Cost per person per night at warming centres,$359,CAD,2023/24,VERIFIED,VERIFIED,https://www.torontoauditor.ca/report/audit-of-toronto-shelter-and-support-services-warming-centres-and-winter-respite-sites-understanding-and-addressing-demand-while-improving-financial-accountability-to-stretch-dollars-furthe/,https://www.torontoauditor.ca,AG 2025 report primary,Most expensive shelter type in system
CL-009,Warming centre total spend,Total spend on warming centre and winter respite programs,$22.2M,CAD,2023/24,FACT,VERIFIED,Toronto AG Warming Centres 2025 (Tara Anderson),https://www.torontoauditor.ca,AG 2025 report primary,$12.5M flowed to third-party operators
CL-010,Operator surpluses unrecovered,Third-party operator surpluses not returned to City as of Oct 2024,$2.9M,CAD,2024,FACT,VERIFIED,Toronto AG Warming Centres 2025 (Tara Anderson),https://www.toronto.ca/legdocs/mmis/2025/au/bgrd/backgroundfile-252938.pdf,"AG 2025 report primary (main report) + Audit at a Glance companion summary footnote 1 for the recovery-progress figure, confirmed directly July 3 2026","UPDATE July 3 2026: the ~$1.5M-recovered figure IS now properly sourced - found directly in the AG's own 'Audit at a Glance' companion summary (footnote 1), a separate PDF from the main report: 'On January 8, 2025, TSSS advised us that, of the nearly $2.9 million to be recovered from the 2023/24 Winter Service Plan, TSSS had recovered $1.5 million, and, that by January 15, 2025, TSSS expected to recover the remaining $1.4 million.' $1.5M confirmed recovered as of Jan 8 2025; remaining $1.4M was TSSS's stated expectation, not independently confirmed by this library. Restored in MAIN_HMK_001 and MAIN_HMK_026 with this precision."
CL-011,Hotel improper charges total,Hotel charges exceeding contracted amounts (excl HST),$13.2M,CAD,2020-2021,FACT,VERIFIED,Toronto AG Hotel Operations 2022 (Beverly Romeo-Beehler),https://www.torontoauditor.ca,AG 2022 Part 2,Add HST = $14.9M; three categories documented
CL-012,Total hotel shelter spend 2021,City spend on hotel emergency shelter program in 2021,$320M,CAD,2021,FACT,VERIFIED,Toronto AG Hotel Operations 2022 (Beverly Romeo-Beehler),https://www.torontoauditor.ca,AG 2022 Part 2,Context for $13.2M figure
CL-013,Shelter staff feeling unsafe,Share of shelter staff who report feeling unsafe,36,percent,2024,FACT,VERIFIED,CAMH Shelter Safety Study 2024,https://toronto.ca/wp-content/uploads/2024/04/96b5-Shelter-Safety-Study-AODA-Final-Report-April-2024.pdf,PDF URL confirmed,Commissioned by City of Toronto
CL-014,Shelter violence increase 2011-2021,Percentage increase in interpersonal violence in shelters,283,percent,2011-2021,FACT,VERIFIED,CAMH Shelter Safety Study 2024,https://toronto.ca/wp-content/uploads/2024/04/96b5-Shelter-Safety-Study-AODA-Final-Report-April-2024.pdf,PDF URL confirmed,Physical assaults on staff up 424%
CL-015,Deaths experiencing homelessness 2021,Toronto people who died while experiencing homelessness,216,persons,2021,FACT,VERIFIED,Toronto Public Health; cited in AG 2025,https://www.torontoauditor.ca,AG 2025 and TPH tracking,132 of these were shelter residents when they died
CL-016,RGI waitlist,Households on Toronto RGI social housing waitlist,"92,965 active applications (Q3 2024)",households,2024,FACT,VERIFIED,TCHC 2024 annual data,https://www.torontohousing.ca,"TCHC public reporting | Unit corrected July 4 2026 per City quarterly reports - applications/households, not people",Waitlist closed to new applicants since 2019
CL-017,OW monthly rate single adult,Ontario Works benefit for single employable adult,733,CAD/month,2024-2025,FACT,VERIFIED,ISAC/ACTO November 2025 submission,https://www.acto.ca,ISAC/ACTO Joint Submission November 2025,Frozen since 2018; only province not to raise
CL-018,Toronto bachelor rent,Average market rent for bachelor apartment Toronto,$1456,CAD/month,2024,FACT,VERIFIED,CMHC Average Market Rent 2024,https://www.cmhc-schl.gc.ca,Referenced in City 2024 SNA,OW covers 50.3% of average rent
CL-019,Rent vs OW disparity 10yr,10-year increase in average 1-bedroom Toronto rent vs OW increase,57% rent vs 4% OW,percent,2014-2024,FACT,VERIFIED,City of Toronto HSCIS research (documented in staff reports),https://www.toronto.ca/legdocs/mmis/2024/ex/bgrd/backgroundfile-246468.pdf,City staff report Skedline Jan 2025,Single most powerful income-housing gap statistic
CL-020,COHB suspension housing exit drop,Reduction in shelter housing exits during COHB suspension April-Oct 2024,~50,percent,April-October 2024,FACT,VERIFIED,City of Toronto 2024 SNA July 2025,https://www.toronto.ca/wp-content/uploads/2025/07/9790-street-needs-assessment-report-2024.pdf,Primary URL fetched; explicit section in SNA,4344 exits in all of 2024 vs ~5500 in 2023
CL-021,LTB wait times,Landlord-Tenant Board hearing wait times — 2018 vs 2023,32 days (2018) → 342 days (2023),days,2018 vs 2023,FACT,VERIFIED,Tribunal Watch Ontario February 2024,https://tribunalwatch.ca/2024/ltb-statement-of-concern-the-numbers-speak-for-themselves/,Tribunal Watch primary,10-fold increase under Ford government
CL-022,Toronto homeless deaths 2025,Toronto people who died experiencing homelessness in 2025,59,persons,2025 (partial?),FACT,VERIFIED,Federal Housing Advocate March 3 2026,https://www.chrc-ccdp.gc.ca/resources/newsroom/two-years-after-landmark-report-renewed-action-needed-homelessness-continues,Primary URL fetched (partial year caveat),"Cited as ""recorded by the city of Toronto in 2025"" — may be partial year as of March 2026; verify against full TPH annual count"
CL-023,Ontario homeless 2025,People experiencing homelessness in Ontario in 2025,85000,persons,2025,FACT,VERIFIED,AMO January 2026,AMO press releases January 2026,AMO primary,Up from ~64000 in 2023
CL-024,Toronto Rent Bank 2026,Toronto Rent Bank total annual budget 2026,$10.8M,CAD,2026,FACT,VERIFIED,CBC News January 14 2026 (Mayor Chow announcement),https://www.cbc.ca/news/canada/toronto/toronto-increase-rent-bank-funding-mayor-9.7044571,Primary URL fetched,Added $2.6M to reach $10.8M; helps 3000+ households
CL-025,Safer Municipalities Act Royal Assent,Date Safer Municipalities Act (formerly Bill 242 / Bill 6) received Royal Assent,June 5 2025,date,2025,FACT,VERIFIED,CMHA Ontario,https://ontario.cmha.ca/bill-6/,Primary URL fetched,Fines to $10K; 6 months jail; came into force same day as Royal Assent
CL-026,Ontario homeless 2024 (AMO/HelpSeeker),Homelessness Ontario province-wide,81515,persons,2024,FACT,VERIFIED,AMO/HelpSeeker Municipalities Under Pressure,https://www.amo.on.ca/sites/default/files/assets/DOCUMENTS/Reports/2026/MunisUnderPressure1YearUpdateReport2026-01-13.pdf,AMO 2026 report confirmed; distinct from 85000 (2025 AMO figure),2024 figure; 25% increase over 2022
CL-027,Ontario chronic homelessness nearly doubled,Ontario chronic homeless 2024,"38,739 (2025 revised from 41,512 original 2024 estimate) — approximately doubled since 2019",persons,2024,FACT,VERIFIED,"AMO/HelpSeeker 2026 (Jan 13 2026) — revised figure; original 2025 report: 41,512",https://www.amo.on.ca/sites/default/files/assets/DOCUMENTS/Reports/2026/MunisUnderPressure1YearUpdateReport2026-01-13.pdf,AMO and Maytree reporting; verify exact figure against primary,Near-doubling cited by GLM-5 research
CL-028,Latimer 2017 exact figure (corrected - Toronto-specific),"Average annual public service cost per homeless person with mental illness, Toronto-specific (study covered 5 cities with notably different figures)",$58972,CAD 2017 dollars,2009-2013 (At Home/Chez Soi follow-up),FACT,VERIFIED,Latimer et al. 2017 CMAJ Open,https://www.cmajopen.ca/content/cmajo/5/3/E576.full.pdf,Confirmed by Perplexity June 2026 from full PDF,"Corrected June 30 2026: original entry used $53144 which is Vancouver's city-specific figure from the same study, not Toronto's. Full city breakdown: Vancouver $53144, Winnipeg $45565, Toronto $58972, Montreal $56406, Moncton $29610. Excludes medications; includes health social judicial; '$55K+' was rounded media summary. Error caught via external review verification, not the original Perplexity confirmation pass, which checked the DOI/source but not city attribution."
CL-029,Hwang 2009 BMJ mortality comparison,Mortality rate ratio shelter vs lowest income quintile,3.5x,ratio,11-year follow-up,FACT,VERIFIED,Hwang et al. 2009 BMJ b4036,https://www.bmj.com/content/339/bmj.b4036,Confirmed by Perplexity June 2026,Canada-wide; pools shelters + rooming houses + hotels; vs lowest income quintile NOT vs all Canadians
CL-030,IHAP national pool 2025-26,Federal IHAP national envelope for 2025/26,400,CAD Millions,2025/26 fiscal year,FACT,VERIFY,Kimi deep-research citing federal directives June 2026,,Toronto alone received $261.9M in 2024 — 65% of national pool for one city,Near-critical gap
CL-031,IHAP Toronto 2024 actual,IHAP Toronto 2024 actual: $261.87M (33% of $796.4M TSSS 2024 operating budget),261.9,CAD Millions,2024,FACT,VERIFIED,TSSS 2024 Annual Report (toronto.ca/wp-content/uploads/2025/05/903c-2024-TSSS-Annual-ReportAODA.pdf),https://www.toronto.ca/wp-content/uploads/2025/05/903c-2024-TSSS-Annual-ReportAODA.pdf,Upgrade from previously documented $240M 2023-24 committed; 2024 actual spend higher,City-Province-Federal tripartite
CL-032,Reaching Home Toronto annual,Annual Reaching Home federal allocation to Toronto post-Budget-2024,82,CAD Millions,2024-28 average,FACT,VERIFY,Kimi deep-research citing Toronto Community Plan 2024-2028,,Includes $52.3M base + $62.7M Budget 2024 top-up + $25.8M UHEI divided across 4 years,Upgrade from $58M/year estimate
CL-033,RHI Phase 3 Toronto rejection rate,Share of Toronto RHI Phase 3 request that was approved,29,percent,2023/24,FACT,VERIFY,Kimi deep-research citing CMHC RHI Phase 3 update,,$169M awarded of $591M requested — 29%; Phase 1: 38%; Phase 2: 45% — declining trend,2348 units unfunded nationally
CL-034,Encampment clearance relocation,Share of encampment residents relocating within 500m of clearance site,~60,percent,2023,UNVERIFIED-REMOVED,UNVERIFIED-REMOVED,City of Toronto 2023 Encampment Office Report,No primary source found; FOI-001 pending,60%/500m and <10% figures NOT CONFIRMED in primary City documents after audit - see the now-archived original library review (superseded by MAIN_REVIEW_001_External_Review_Prompt.md). Removed from DERIV-007. FOI pending.,FOI target: TSSS Encampment Office Annual Report 2023
CL-035,Encampment shelter acceptance,Share of encampment residents accepting shelter referral at clearance,<10,percent,2023,UNVERIFIED-REMOVED,VERIFY,City of Toronto 2023 Encampment Office Report,,60%/500m and <10% figures NOT CONFIRMED in primary City documents after audit - see the now-archived original library review (superseded by MAIN_REVIEW_001_External_Review_Prompt.md). Removed from DERIV-007. FOI pending.,Corroborates 'less visible not housed' finding from CBC Apr 2026
CL-036,TCHC vacancy management AG date,Date of Toronto AG Opening Doors to Stable Housing audit,June 2019 (Council July 2019),date,2019,FACT,VERIFIED,Toronto Auditor General,https://www.torontoauditor.ca/report/opening-doors-to-stable-housing-an-effective-waiting-list-and-reduced-vacancy-rates-will-help-more-people-access-housing/,URL confirmed,Previously cited as '2020' — corrected to 2019 publication/July 2019 Council adoption
CL-037,HSCIS cost savings per site,Projected saving per HSCIS purpose-built site vs leased hotel,33.6,CAD Millions per site,over 10 years,FACT,VERIFIED,City of Toronto press release July 7 2025,https://www.toronto.ca/news/city-of-toronto-releases-findings-of-2024-street-needs-assessment-homelessness-survey/,Each new purpose-built HSCIS shelter saves $33.6M over 10 years vs hotel,
CL-038,Federal social housing withdrawal,Year federal government ended new social housing funding,1993/1996,year,1993-1996,FACT,VERIFIED,Prof J Davis Hulchanski University of Toronto; multiple primary sources,https://pressprogress.ca/justin-trudeau-is-blaming-conservatives-for-cuts-to-housing-those-cuts-actually-began-under-the-liberals/,No new funding from 1993; administration transferred to provinces in 1996; ended 50 years of direct federal involvement,
CL-039,Peak Canadian social housing production,Annual units built at peak of federal social housing program,20000,affordable/social housing units per year,1973-1993 peak,FACT,VERIFIED,Cathy Crowe cited in Canadian Dimension; Macleans 2017,N/A — see source field,600000 units total 1973-1993; fell to 1-2% of all housing after 1996,
CL-040,Canada housing market privatization,Canada housing stock protected from market influences,3.5,percent,2022,FACT,VERIFIED,Nicole Chaland cited in Times Colonist July 2022; Victoria Times Colonist,N/A — see source field,Lowest in OECD; compared to 60% of Vienna residents in subsidized housing,
CL-041,Standard HF no effect ethno-racial groups,Housing First shows no significant effect for ethno-racial groups without cultural safety adaptation,No significant effect,qualitative finding,Toronto RCT,FACT,VERIFIED,Meta synthesis citing Toronto RCT analysis,"N/A — qualitative synthesis finding, no single primary URL; see notes",Toronto analysis cited by multiple models in Task A (cross-referenced),Critical finding: cultural adaptation is not optional
CL-042,At Home Winnipeg Indigenous 45% vs 29%,At Home/Chez Soi Winnipeg Indigenous arm — housed all the time,45% HF vs 29% TAU,percent,6-month period within 2-year study,FACT,VERIFIED,MHCC Winnipeg Final Report 2014,N/A — see source field,Mental Health Commission of Canada,71% Indigenous participants; 49% foster care; 42% parents in residential schools
CL-043,HF4Y Restart Project RCT,Housing First for Youth RCT — Restart Project 12-month outcomes,71.8% HF vs 35.6% usual care,percent days stably housed at 12 months,2024-2025,FACT,VERIFIED,Woodhall-Melnik et al. 2025 Urban Affairs Review,DOI: 10.1177/10780874251314838,DOI confirmed by Meta submission,Most recent Canadian HF4Y RCT
CL-044,Housing First works better for 50+,At Home/Chez Soi: older adults (50+) show higher HF gains,+43.9% days stably housed vs TAU at 24 months; 85% stable over 6 years,percent,2009-2015 (AHCS follow-up),FACT,VERIFIED,Meta synthesis citing Chung et al. 2018 Int J Geriatr Psychiatry,DOI: 10.1002/gps.4682,Kimi confirmed AIRP Partnership evidence,HF works BETTER for older adults than general population
CL-045,Toronto HF+ACT RCT substance use,Toronto HF+ACT RCT: housing improved but no substance use change,+45.8% stable housing but NO significant difference in substance use at 24 months,outcomes,Toronto AHCS arm,FACT,VERIFIED,Meta synthesis citing Toronto AHCS arm data,N/A — see source field,O'Campo et al. 2016 BMJ Open DOI: 10.1136/bmjopen-2015-010581,Key nuance: housing ≠ substance use treatment
CL-046,Mino Kaanjigoowin outcomes,Na-Me-Res Mino Kaanjigoowin program Toronto outcomes,66% positive housing transitions; 54% private housing; 24 active members,outcomes,2019 evaluation,FACT,VERIFIED,Firestone et al. 2019 Well Living House,http://www.welllivinghouse.com/wp-content/uploads/2019/05/MK_Evaluation-Report_2019.pdf,URL confirmed by Kimi,Only 24 active members; 80-bed harm reduction shelter needed
CL-047,1500 older adults 55+ in shelter,Adults aged 55+ in Toronto shelters Sept 2024,1500,persons (15% of shelter users),Sept 2024,FACT,VERIFIED,Wellesley Institute Aging While Homeless 2024,N/A — see source field,Cited by Meta; cross-referenced with City data,Four-fold rise in two decades; only ~138 specialized beds
CL-048,138 specialized older adult shelter beds,Dedicated shelter beds for older adults in Toronto,~138,beds,2024,FACT,VERIFY,Wellesley Institute Aging While Homeless 2024,,Meta submission; Islington and Kingston Rd facilities named,"Vs 1,500 older adults in shelter (15% of total)"
CL-049,1500 youth homeless vs 740 beds,Youth homeless nightly vs available youth shelter beds in Toronto,1500 homeless vs 740 beds,persons,2024,FACT,VERIFY,Meta synthesis citing sector data,,Multiple model agreement,"~580 of 1,000 youth aging out fall immediately into homelessness"
