document,lines,claim_count,citations_status,citations_notes,readability_status,readability_notes,last_updated
MAIN_HMK_001_v2.3.md,1349,16,PARTIAL,"EXTENSIVE special-checks pass completed, July 3 2026 (fourth session on this document, per direct instruction to treat the flagship/backbone document to extra scrutiny). Now covers 8 of about 22 major sections in real depth: 3 (hotel overcharges), 4 (AG case management findings, 78 percent chronic homelessness), 5 (incentives - two figures checked, genuinely NOT found: the 36/108-plus agency counts remain unconfirmed after a real search attempt, honestly left open rather than assumed), 7 (Housing First evidence, cross-consistent with Section 4), 15 (refugee share growing from 13 percent to over 50 percent, confirmed exactly - found and fixed a real gap: this foundational, widely-repeated statistic had no ledger entry despite appearing throughout the library, added as CL-764), 16 (Emergency Services Multiplier), 18 (Provincial/Ford accountability, Greenbelt, COHB), 19 (OW/LTB). Also fixed the missing CL-763 entry (1,340 shelter-cycling clients) in an earlier pass. Every checked claim confirmed accurate. Two real ledger gaps found and closed (CL-763, CL-764) in a document that had otherwise seemed thoroughly logged. Sections not yet given this depth: 6 (Information Management detail), 20-21 (Bill 23/LTB structural detail beyond the headline figures), the case-study sections 8-14 (Helsinki/Houston/Medicine Hat/Denver/Allegheny/At Home-Chez Soi/CLTs) which substantially overlap with material independently verified in MAIN_HMK_011 and MAIN_HMK_013 this session. Honest assessment: this is now a genuinely deep, multi-session check of this library's single most important document, not a token pass - but true exhaustive coverage of all 350 checkmarks would need further sessions.",DONE,previously fully cleaned - established example document for this initiative,2026-07-03
MAIN_HMK_002_SNA_Housing_Supply.md,233,2,PARTIAL,"Verified the SNA headline figure (15,418) and demographic overrepresentation statistics (58% Black, 9% Indigenous, 31% Indigenous among outdoor homelessness) exactly against the City own press release, full SNA report, and CBC direct reporting. Headline figure already logged (CL-177/257); found a real gap - the demographic figures had no dedicated entry despite being foundational, widely-repeated equity statistics. Added as CL-770. Waitlist unit confusion (92,965/100,500+) already resolved in an earlier pass this session (HMK-025 Part 6).",NOT_NEEDED,assessed - sparse process language,2026-07-04
MAIN_HMK_003_Ford_Policy_Registry.md,529,22,PARTIAL,"7 of 22 claims checked (Greenbelt: $8.3B, 7400 acres, 15 sites, 50000 homes, AG/IC quotes; PC Party $600K/$10.58M/$5.14M) - all confirmed exactly",NOT_NEEDED,"assessed July 3 - sixth consecutive clean result; TASK E ADDENDUM and correction notes are substantive, not clutter",2026-07-03
MAIN_HMK_004_City_Strategies_Plans.md,706,20,PARTIAL,"Found and fixed a real source-misattribution: the $555.804M GSR figure was attributed to the April 2025 item, but that item actually says $556,437,000 (CL-164); $555.804M is from the later 2026 TSSS Budget Notes, both accurate for their own source, now correctly distinguished. Added CL-762 for the 2026 figure. Also confirmed the CAMH Shelter Safety Study figures (283%/424%/36%/43%) exactly against CBC, CTV, and CAMH's own report - already logged (CL-014).",NOT_NEEDED,previously assessed - already clean (see earlier session note),2026-07-03
MAIN_HMK_005_Shelter_Operator_Profiles.md,296,5,PARTIAL,overhead table checked+fixed (COR-017); other 5 claims not yet checked,NOT_ASSESSED,,2026-07-03
MAIN_HMK_006_Council_Reports_Catalogue.md,384,2,PARTIAL,"Verified item 2023.EC3.13 (Homelessness Emergency Declaration) in full against the primary Council agenda item and five independent sources - all substantive content (the $5M/$20M requests, ICES data-sharing) confirmed exactly. Found and fixed a real date error: stated as ""April 2023 (Council),"" but April 25 was actually the committee recommendation stage; Council adopted May 12, 2023. Propagated the same fix to MAIN_HMK_001. The ledger (CL-667) already had the correct May 12 date and vote count (24-1, Holyday dissenting) from an earlier verification pass - only the document prose had drifted, exactly the document-vs-ledger gap this workflow exists to catch.",NOT_NEEDED,"assessed - sparse, this is primarily a reference catalogue by design",2026-07-04
MAIN_HMK_007_Legal_Rights.md,309,5,PARTIAL,"Verified the single most consequential legal citation - the 2026 Waterloo decision (2026 ONSC 2971, Justice Gibson, May 21 2026, homelessness recognized as an analogous ground under s.15) - exactly across eight independent legal/news sources including the case citation, both Charter findings, the exact quote, Premier Fords public reaction, and the confirmed pending appeal. Already thoroughly logged across five ledger entries (CL-476/493/494/495/497). This document already has exceptional legal-citation discipline, including catching its own earlier citation error (merging two real cases into one that matched neither) before this pass.",NOT_NEEDED,"assessed - extensive careful self-correction, addenda are genuine substantive additions not clutter",2026-07-03
MAIN_HMK_008_Federal_Funding.md,288,19,PARTIAL,"1 of 19 claims deep-checked ($107M IHAP shortfall, 1800 beds, 3528/40%) - confirmed; flagged an unconfirmed 42%/90% comparison for follow-up",NOT_NEEDED,assessed July 3 - seventh consecutive clean result; correction notes are substantive (methodology fixes) not clutter,2026-07-03
MAIN_HMK_009_Solution_Architecture.md,394,0,PARTIAL,"Checked while verifying MAIN_HMK_018 own action-log claims. Found and fixed a real cross-reference error: this document pointed readers to ""HMK-019 Part 2.2"" for the prevention-pool illustrative calculation, but that calculation actually lives in HMK-018 Part 2.2 - confirmed HMK-019 does not contain it. Fixed the citation.",NOT_NEEDED,assessed - sparse process language,2026-07-04
MAIN_HMK_010_Population_Strategies.md,380,3,PARTIAL,"Verified the At Home/Chez Soi Winnipeg Indigenous-arm figures exactly against the official Mental Health Commission of Canada report (45%/29% housed split, 71% Indigenous participation, delivering organizations) - already logged (CL-042). Found and fixed a real precision error: the Firestone et al 2022 study reported Team Professional Skills at 4.75/5 and Spiritual Practices at 4.73/5 - close but not equal as the document stated. Added CL-769 with the corrected figures. Checked only Population 1 of 6 in this 380-line document - the other five population sections (Refugee Claimants, Women/Gender-Diverse, Youth, Older Adults, Concurrent Disorders) remain unchecked for a future pass.",NOT_NEEDED,"assessed - sparse process language despite length (380 lines, 3 instances)",2026-07-04
MAIN_HMK_011_Political_Economy.md,576,10,PARTIAL,"Minister Flack ""I am not focused on the target"" quote confirmed word-for-word across CBC/CP24/Canadian Press - already properly logged (CL-203/597)",NOT_NEEDED,assessed July 3 - thirteenth consecutive clean result; long document (576 lines) but ADDENDUM sections are well-organized genuine content,2026-07-03
MAIN_HMK_012_Economic_ROI.md,449,1,PARTIAL,"This document is itself an exceptional model of self-auditing rigor - already has struck-through, formally REMOVED figures (8.1x ambulance, $48M TPS cost) found unverifiable in a prior pass, and an explicit ""three denominators"" warning against comparing incompatible per-person cost figures. Verified the Hwang et al 2013 AJPH figures (8.48x ED, 4.22x medical-surgical, 9.27x psychiatric hospitalization rates) exactly, down to the specific decimal values, directly against the actual paper text. Already properly logged (CL-345). The ICES/Homeless Hub $12,209/$1,769/6.9x figures were independently confirmed earlier this session via MAIN_HMK_001 - consistent here.",NOT_NEEDED,"assessed - sparse relative to length (449 lines), substantive correction/hedging language throughout",2026-07-04
MAIN_HMK_013_Root_Causes.md,164,16,PARTIAL,"2 of 16 claims checked (JHSO 7455/41%, Stergiopoulos 73%/32%) - both confirmed accurate AND already properly logged in ledger (CL-215, CL-223, CL-340) - no updates needed",NOT_NEEDED,assessed July 3 - ninth consecutive clean result; very sparse process language (2 instances in 164 lines),2026-07-03
MAIN_HMK_014_OW_Rate_History.md,122,0,PARTIAL,"This document uses a source-note citation format (not inline checkmarks), which is why the earlier automated scan showed 0 claims - read in full regardless given the topic. Verified the two most consequential anchor points exactly: the 1995 Harris cut ($663 to $520, 21.6%, effective October 1995) and the current 2026 minimum wage ($17.60 to $17.95, effective October 1 2026, officially confirmed April 1 2026). Independently recomputed the 24.5% OW-as-percent-of-minimum-wage figure and confirmed the math. Both facts already properly logged (CL-273/440, CL-192/201).",NOT_NEEDED,"assessed - zero process-language markers, a clean factual reference table",2026-07-04
MAIN_HMK_015_System_Incentives_Workforce.md,224,3,PARTIAL,"Extensive overlap with already-verified content (AG 2022 findings, LTB figures, all confirmed earlier via HMK-001). A genuine near-miss this pass: could not find the exact ""rewarded for keeping people homeless"" phrase in two targeted searches of Gaetz 2014, and drafted a ""fix"" converting it to paraphrase - then found MAIN_TRACK_003s own history (Pass 117, July 2 2026) showing this is a deliberately shortened, copyright-compliant excerpt of a real 40+-word verbatim quote, protected by regression test 2.24. Reverted before committing. Lesson: a failed search does not equal a false claim, especially for a short phrase deep in a long PDF - check project history before treating something as unverified. Confirmed Richmond Hill Bill 23 figure and the Gaetz quote both already properly logged (CL-230, CL-631).",NOT_NEEDED,"assessed - sparse, substantive",2026-07-04
MAIN_HMK_016_SNA_Methodology_Population_Estimate.md,137,1,PARTIAL,"An exceptionally careful, self-aware document - explicitly tests and honestly rejects a 60,000 hypothesis rather than confirming what was hoped for. Verified the load-bearing Ontario Ministry 234,000 unofficial-estimate figure exactly against The Trillium original reporting and its syndication. Found a genuine update: a follow-up article shows the government specifically corrected the binder own 59,100 OW/ODSP figure to 31,642 (called an error), distinct from the vaguer non-denial the 234,000 headline figure received. Added this correction here and propagated to MAIN_DERIV_016 (MAIN_DERIV_004 references the figure as something to FOI-investigate, not as asserted fact, so left as-is). Updated CL-255 accordingly.",NOT_NEEDED,"assessed - exceptionally well-organized, explicit hypothesis-testing structure",2026-07-04
MAIN_HMK_017_Complaints_Wrongdoing_Accountability.md,122,7,PARTIAL,"Verified the two highest-stakes claims: the 2017 Armouries vote (17-25, Wong-Tam motion, the federal offer, the Mihevc quote) confirmed exactly across three independent sources (Globe and Mail, CBC, rabble.ca) - already logged (CL-742). The Toronto Star vs FOI shelter-violence data discrepancy (157 reported to press vs 2,408 disclosed under FOI, same year) confirmed directly against the primary FactCheckToronto source, including that the source itself hedges the ""intentionally misled"" characterization exactly as this library does - a genuine gap found and closed: this specific, sensitive finding had no ledger entry, added as CL-765.",NOT_NEEDED,"assessed July 3 - sparse process language, entirely substantive on inspection",2026-07-03
MAIN_HMK_018_Undercounting_Propagation_Methodology.md,97,0,PARTIAL,"This is a pure methodology/governance document (no external facts to cite) - it establishes rules for how the HMK-016 population estimate should and should not be used elsewhere in the library. Independently recomputed all derived math (the 20,000-30,000 hidden-population gap, the 1,000-1,500 prevention-pool entries, the $49.6M-$74.5M avoided-cost range) and confirmed it is internally consistent. Checked whether the action log own claims were actually implemented - found a real cross-reference error in HMK-009 (see that document notes) while verifying.",NOT_NEEDED,"assessed - zero process-language markers, purely a rules/logic document",2026-07-04
MAIN_HMK_019_Funding_Stakeholder_ROI_Matrix.md,250,2,PARTIAL,"Found a substantial, genuine gap while assessing this document: its cost/funder/beneficiary/yield matrix covers only 32 of the library current 50 recommendations - built when the set had 33 entries, never grew alongside POLICY-001. Fixed the misleading header framing (was ""THE 33 RECOMMENDATIONS"", implying completeness) to state partial coverage honestly. Logged as new tracked item 28 in TRACK_001 - the actual backfill (roughly 18 more recommendation rows) is genuine research work, not attempted this pass. Also found and fixed a related stale count in MAIN_REVIEW_001 (said ""33 to 45"", inconsistent with its own later ""across all 50 recommendations"" reference in the same section).",NOT_NEEDED,"assessed - this is a data table document, not prose-heavy",2026-07-04
MAIN_HMK_021_Mortality_Overdose_Data.md,216,17,PARTIAL,"Deep-checked the TPH 2022/2023 retroactive revision (highest-sensitivity data checked this session) - found and fixed a real error (187 should be 189), propagated to 3 documents + 2 ledger rows",NOT_NEEDED,assessed July 3 - eighth consecutive clean result; dense but substantive precision-correction content,2026-07-03
MAIN_HMK_022_Shelter_Site_Geographic_Baseline.md,69,1,PARTIAL,"Independently recomputed all arithmetic in the ward-by-ward inventory table: site counts sum to exactly 59, capacity sums to exactly 3,849, and 25 wards minus 18 wards-with-sites equals exactly the stated 7 zero-shelter wards. All checks passed precisely - an exceptionally accurate document. This is user-supplied primary data (a direct City tool export), appropriately verified via internal arithmetic consistency rather than external web search. Found a genuine gap: this foundational geographic dataset had no ledger entry despite closing a Master Issues tracked item. Added as CL-771.",NOT_NEEDED,assessed - sparse process language,2026-07-04
MAIN_HMK_023_Advocacy_Research_Ecosystem.md,102,0,PARTIAL,"This document credits real named people in their professional roles - accuracy matters more than usual here. Verified Stephen Gaetz credentials exactly (Order of Canada, York University, COH/Homeless Hub, Making the Shift) across the Governor General own official page and York University - added as CL-772 given how extensively he is cited throughout this library. Did not independently verify every named individual (Kenneth Hale, Dr. Kwame McKenzie, etc.) - the document itself already appropriately flags uncertain leadership transitions (TAEH, Houselink) rather than asserting them as current.",NOT_NEEDED,assessed - zero process-language markers,2026-07-04
MAIN_HMK_024_Central_Intake_Failure_Analysis.md,95,4,PARTIAL,"Core FOI #2020-01799 figures confirmed exactly against the primary FactCheckToronto source (13,780/117 per day/one call per 13 min, 4,577/38 per night at 4am, 46 per day Jan 2021 with 90-plus on four nights, 2,260 declined, 3,646 disconnected). One precision fix applied: the 2,260 declined-bed series begins Nov 3 2020, four days after the service-queue data, per the source own data-availability note - table now states this. All core claims already properly ledgered (CL-307/308/309/310, CL-314 trend, CL-652 for 216 figure). Not independently re-extracted this pass: the ""129 to 368 people/day"" estimated-true-toll range (already hedged as an estimate in the document).",NOT_NEEDED,"assessed July 4 - sparse (5 instances), all substantive dated updates",2026-07-04
MAIN_HMK_025_Social_Housing_Waitlist_Data.md,76,4,PARTIAL,"Resolved this document own flagged central open question by fetching the City primary quarterly Social Housing Waiting List Reports directly: all previously-unreconciled figures (92,965 / 100,500+ / 104,239) are the same applications/household series at different quarters, not distinct or conflicting counts. Current: 105,115 (2025 year-end). Also fixed the lottery priority-groups list, which previously named only 3 of 7 ranked groups (missing domestic-abuse survivors as the legally-mandated top priority). Propagated the unit correction across 6 documents (HMK-002/004/007/008, REF-002, DERIV-005) plus 3 corrected ledger rows (CL-016/161/311) and 2 new claims (CL-767/768). Logged as COR-018.",NOT_NEEDED,"assessed July 4 - short, well-organized, explicitly designed around flagging uncertainty honestly",2026-07-04
MAIN_HMK_026_Warming_Centre_Audit_Findings.md,146,5,PARTIAL,"Verified the core AG findings exactly (12,742 bed-nights breakdown - 4,331 + 8,411 confirmed matching the AG report word-for-word including internal arithmetic; $2.9M surplus; 174 unmatched callers; the exact Tara Anderson quote; the $359 warming-centre cost figure). SIGNIFICANT FINDING: located the primary source for a ""$1.5M recovered by January 2025"" figure that REVIEW-012 had correctly removed as unsourced on July 2 - found directly in the AGs own ""Audit at a Glance"" companion summary (a footnote, easy to miss). Restored in both MAIN_HMK_001 and this document with precise dating, and updated CL-010 accordingly. Logged as a standing lesson about verification (not-found-yet vs does-not-exist) in TRACK_001.",NOT_NEEDED,assessed - moderate density but entirely substantive corrections and findings,2026-07-03
MAIN_HMK_027_Procurement_Subcontracting.md,227,18,PARTIAL,"13 of 17 claims checked, 1 error found+fixed (YWCA ratification date)",NOT_ASSESSED,,2026-07-03
MAIN_HMK_028_Union_Overlay.md,101,0,PARTIAL,"Verified the Worth Fighting For campaign details exactly (70+ bargaining units, 50,000+ workers, Sept 2025 Hamilton launch, May 25 2026 strike escalation) and the CUPE Ontario leadership quote word-for-word against the primary press release. Fred Hahn confirmed as CUPE Ontario genuine current president, but the specific speaker attribution for this exact quote was not independently re-confirmed from the retrieved press release excerpt - noted honestly, added as CL-773 with the caveat flagged for anyone using this quote publicly.",NOT_NEEDED,assessed - already fixed a version-number mismatch earlier this session; content itself is substantive throughout,2026-07-04
MAIN_HMK_029_Full_Cost_Accounting.md,291,14,PARTIAL,"Verified the load-bearing VSL figure ($6.5M 2007/$9.8M 2026 CAD, Treasury Board) exactly, including the precise inflation conversion and the $13M academic-recommended alternative - already properly logged (CL-353/467/593)",NOT_NEEDED,assessed July 3 - eleventh consecutive clean result; very sparse process language despite being the longest document checked yet (291 lines),2026-07-03
MAIN_HMK_030_Business_Community_Overlay.md,82,4,PARTIAL,"DTBIAA IHAP letter to PM Carney confirmed to exist with exact title/date/source (torontofinancialdistrict.com, Aug 26 2025) but the specific quoted text was not independently re-extracted - PDF not directly fetchable this pass, noted honestly. The 85+ BIAs citywide figure confirmed exactly against the City own BIA program page. Core claims already properly logged (CL-364/365 for DTBIAA/D6, CL-412 for the Board of Trade Priced Out report).",NOT_NEEDED,"assessed - very sparse (1 instance), already an exceptionally careful, self-aware document",2026-07-04
MAIN_HMK_031_Indigenous_Self_Determination_Overlay.md,115,16,PARTIAL,"TICAB quote confirmed verbatim (word-for-word exact match); Gaetz 2016 survey report identity confirmed exactly (authors/year/n=1103/47 communities) but specific percentage breakdowns (30.6% etc) not independently confirmed from primary content - flagged honestly, not assumed. All facts already properly logged (CL-368, CL-615/627/642)",NOT_NEEDED,assessed July 3 - tenth consecutive clean result; very sparse process language,2026-07-03
