stem,kinds
2slgbtq-inclusion-protection,backgrounder|card|dayone
2slgbtq-inclusion-protection_toronto,brief
accessibility-public-space-aoda,backgrounder|card|dayone
accessibility-public-space-aoda_toronto,brief
active-transportation-cycling,backgrounder|card|dayone
active-transportation-cycling_toronto,brief
aging-well-home-care,backgrounder|card|dayone
aging-well-home-care_toronto,brief
ai-life-beyond-work,backgrounder|card|dayone
ai-life-beyond-work_toronto,brief
ai-public-good-adoption,backgrounder|card|dayone
ai-public-good-adoption_toronto,brief
ai-toronto-sovereignty-opportunity,backgrounder|card|dayone
ai-toronto-sovereignty-opportunity_toronto,brief
ai-work-income-replacement,backgrounder|card|dayone
ai-work-income-replacement_toronto,brief
anti-black-racism-investment,backgrounder|card|dayone
anti-black-racism-investment_toronto,brief
arts-culture-creative-economy-spaces,backgrounder|card|dayone
arts-culture-creative-economy-spaces_toronto,brief
automated-vehicles-av-policy,backgrounder
basic-income-livelihood-programs,backgrounder
basic-income-universal-services,backgrounder|card|dayone
basic-income-universal-services_toronto,brief
building-retrofits-climate-mitigation,backgrounder|card|dayone
building-retrofits-climate-mitigation_toronto,brief
bylaw-enforcement-property-standards,backgrounder|card|dayone
bylaw-enforcement-property-standards_toronto,brief
car-free-zones-pedestrianization,backgrounder|card|dayone
car-free-zones-pedestrianization_toronto,brief
child-care-access-affordability,backgrounder|card|dayone
child-care-access-affordability_toronto,brief
citizens-assemblies-sortition,backgrounder|card|dayone
citizens-assemblies-sortition_toronto,brief
city-hall-democratic-reform,backgrounder|card|dayone
city-hall-democratic-reform_toronto,brief
city-workforce-labour-relations,backgrounder|card|dayone
city-workforce-labour-relations_toronto,brief
clean-streets-neighbourhood-corps,backgrounder|card|dayone
clean-streets-neighbourhood-corps_toronto,brief
climate-adaptation-stormwater-flooding,backgrounder|card|dayone
climate-adaptation-stormwater-flooding_toronto,brief
climate-resilience-floods-heat,backgrounder|card|dayone
climate-resilience-floods-heat_toronto,brief
community-land-trusts,backgrounder|card|dayone
community-land-trusts_toronto,brief
community-municipal-renewable-energy,backgrounder|card|dayone
community-municipal-renewable-energy_toronto,brief
community-safety-crime-policing,backgrounder|card|dayone
community-safety-crime-policing_toronto,brief
community-safety-perception-gap,backgrounder|card|dayone
community-safety-perception-gap_toronto,brief
community-safety-wellbeing-plans,backgrounder|card|dayone
community-safety-wellbeing-plans_toronto,brief
congestion-road-pricing,backgrounder|card|dayone
congestion-road-pricing_toronto,brief
connection-community-belonging,backgrounder|card|dayone
connection-community-belonging_toronto,brief
coop-shared-equity-housing,backgrounder|card|dayone
coop-shared-equity-housing_toronto,brief
cycling-bikeshare-scaling,backgrounder|card|dayone
cycling-bikeshare-scaling_toronto,brief
