correction_id,topic_keywords,stale_pattern,correct_context_pattern,date_corrected,source_document,notes
COR-001,Lakeshore|545 Lake Shore,"Lakeshore as a [\'""\u2019\u201c]new COVID-era hotel site","April 2019|pre-COVID|corrected|opened.{0,10}2019",2026-07-02,MAIN_HMK_041_Two_Key_Shelter_Operator_Case_Studies.md,Lakeshore opened April 2019 not as a COVID-era hotel conversion
COR-002,HSCIS|957 million|957M,"\$957[\s]?(?:M|million)[^.]{0,60}?HSCIS|HSCIS[^.]{0,60}?\$957[\s]?(?:M|million)|\$957[\s]?(?:M|million)[^.]{0,80}?(?:capital plan|new and replacement shelter)",674\.5|CORRECTED|RESOLVED|does not hold up|appears to be an error,2026-07-02,MAIN_HMK_038_Historical_Cost_Escalation_Analysis.md,HSCIS capital figure is 674.5M not 957M; no source found for 957M
COR-003,"CC28\.2|refugee claimant.{0,30}shelter access|Ombudsman.{0,30}December 2024",none adopted by Council|without adopting a single (?:one of the )?14 recommendations,CC28\.2|March 2025|15 of 24|RESOLVED|major correction|no longer holds,2026-07-02,MAIN_POLICY_001_Master_Recommendations.md,"CC28.2 saw 15 of 24 directives completed as of Nov 2025 status report - real majority follow-through not ""nothing done"""
COR-004,"MM34\.4|encampment.{0,20}(?:school|daycare|playground).{0,20}buffer","(?:adopted buffer is 50 metres|200 metres was.{0,20}(?:pre-amendment|rejected|original proposal|Bradford.{0,20}proposal))","two-tier|200 metres.{0,30}(?:scope|50 metres)|corrected a second time|prioritization.{0,20}beginning at 50",2026-07-02,MAIN_HMK_003_Ford_Policy_Registry.md,"CORRECTED A SECOND TIME July 2 2026: the adopted MM34.4 policy is two-tier - 200 metres is the real scope, 50 metres is a prioritization tier within it, both numbers are correct together. The original COR-004 (claiming 50m replaced 200m) was itself wrong. This entry now guards against reintroducing THAT error - flag any instance stating 50m alone without the 200m scope, or claiming 200m was rejected/only a pre-amendment proposal."
COR-005,"31%.{0,20}turnover|turnover.{0,20}31%|CMHC.{0,20}Toronto.{0,20}rent","31%[^.]{0,60}?turnover[^.]{0,60}?Toronto",2023|2025|reversal|stale|falling|softening,2026-07-02,MAIN_HMK_015_System_Incentives_Workforce.md,31% figure is from CMHC 2023 report describing a tight-market moment; 2025 data shows market reversal
COR-006,"median age at death|age gap.{0,20}(?:homeless|housed)",50 \(males\) / 36 \(females\)|49 years younger,50 \(males\) / 38 \(females\)|47 years younger|full-year 2024,2026-07-02,MAIN_HMK_021_Mortality_Overdose_Data.md,Full-year 2024 data supersedes H1-2024 estimate; female median moved 36 to 38
COR-007,"\$13\.2M|13\.2 million.{0,30}hotel","\$13\.2M[^.]{0,40}?2025|2025[^.]{0,40}?\$13\.2M",2022|AU12\.1|AU12\.2|CORRECTED|different audit,2026-07-02,MAIN_HMK_005_Shelter_Operator_Profiles.md,13.2M hotel overbilling is a 2022 audit (AU12.1/AU12.2) not the 2025 AU8.3 audit
COR-008,"IA36\.1|Wong-Tam.{0,20}encampment.{0,20}inquiry","lost 7.16|IA36\.1.{0,30}(?:lost|defeated|failed)","received for information|IA36\.1.{0,30}received",2026-07-02,MAIN_HMK_007_Legal_Rights.md,IA36.1 was received for information not defeated; 7-16 loss likely belongs to a separate judicial-inquiry motion at the same meeting
COR-009,"One Community Solutions|OCS.{0,20}(?:class action|contract)",over \$40 million total,"19\.5|19,520,872|confirmed TSSS total|not yet independently resolved",2026-07-02,MAIN_HMK_027_Procurement_Subcontracting.md,"The $40M OCS figure is the plaintiffs firm claim only; $19.5M is confirmed via primary TSSS records (2024.EC17.4); the ~$20.5M gap is unresolved either direction. Any document citing the $40M figure must carry this context, not state it as independently established."
COR-010,Garda Canada|GardaWorld,"Garda[^.]{0,100}?(?:troubling record|history of controversy|pattern of misconduct|has been accused)",different division|different country|not established as connected|parent corporation|Toronto-entity level,2026-07-02,MAIN_HMK_027_Procurement_Subcontracting.md,GardaWorld parent corporation has extensive real controversies but almost entirely in different divisions/countries not established as connected to Garda Canada Security Corporation Toronto shelter contract - never state a general Garda troubled-record claim without this separation
COR-011,"117 The Esplanade|fourth.{0,10}HART Hub|fourth Toronto.{0,10}HART","117 The Esplanade[^.]{0,150}?opioid agonist treatment(?!.{0,300}closed)",closed|no permanent location|yet to nail down,2026-07-02,MAIN_HMK_003_Ford_Policy_Registry.md,"The fourth Toronto HART Hub site (117 The Esplanade) did not just under-deliver services - it has since closed entirely with no permanent replacement found. Always state the closure, not just the narrow service scope, when citing this site"
COR-012,"Sunshine List.{0,40}(?:Homes First|Dixon Hall|absent|absence)","despite both being overwhelmingly taxpayer-funded|genuine, sustained absence","PSSDA|Public Sector Salary Disclosure Act|provincial funding.{0,20}threshold|consistent with, not contrary to",2026-07-02,MAIN_HMK_041_Two_Key_Shelter_Operator_Case_Studies.md,"Sunshine List absence for Homes First/Dixon Hall must always carry the PSSDA provincial-funding-threshold context - the Act is keyed to provincial funding specifically, not total or municipal funding, and absence is consistent with the threshold given how small each organization's provincial funding share is, not evidence of irregularity"
COR-013,"2\.9M.{0,30}(?:surplus|recovered)|1\.5M.{0,20}recovered",\$1\.5M (?:subsequently|since) recovered,unsourced|no primary source|fair question to ask|unconfirmed|could not confirm|REVIEW-012,2026-07-02,MAIN_HMK_001_v2.3.md,"The 1.5M recovered figure has no primary source anywhere in this library and contradicts HMK-026 explicit unconfirmed-status finding. Never state a specific recovery dollar amount for the 2.9M AG surplus finding without a direct primary source - if unknown, say so plainly"
COR-014,Red Cross|Sysco|Verint|OnX Enterprise|Kleenway|Practice Health Check,,,2026-07-03,MAIN_HMK_027_Procurement_Subcontracting.md,"Standing caution, not a fix to a found error: a July 3, 2026 audit (prompted by finding a live entity-conflation bug involving OCS/Garda in this same document) checked every named contractor with a recognizable major-brand or generic name for existing conflation risk. None currently carry any controversy/negative content requiring separation - this is a clean finding, not an absence of looking. Logged as topic-keywords-only (no stale pattern yet, since none exists) so any FUTURE pass adding negative content about any of these names gets flagged by the soft scan for a Toronto-entity-specific attribution check before publication, same discipline as COR-010 (Garda) but applied proactively rather than after an error already happened."
COR-015,Altus Group|Aboriginal Legal Services|COSTI|Miziwe Biik|Toronto Housing Foundation|Supreme Nursing|Alpine Building|Butler Contracting|Comfy Cotton|Gerstein Crisis|Integrated Contracting|Kennedy House|Margaret's Housing|Toronto Council Fire,,,2026-07-03,MAIN_TRACK_001_Master_Issues.md,"Standing caution, continuation of COR-014: a full-library pattern-generalization pass (not just the five highest-risk documents COR-014 covered) checked every remaining named organization for entity-conflation risk. Clean finding - none currently carry misattributed negative content. Logged proactively, topic-keywords-only, so the soft scan flags any future addition near these names for a Toronto-entity-specific check. Also found and fixed in the same pass, unrelated to conflation risk: WoodGreen Community Services was spelled two different ways (WoodGreen/Woodgreen) across 11 documents - standardized to WoodGreen, the organization's own official spelling."
COR-016,"YWCA CUPE 2189 ratification|11%.{0,20}May 2026","ratified.{0,30}May 2026|May 2026.{0,30}ratified",May 2025|corrected July 3|actual ratification date,2026-07-03,MAIN_HMK_027_Procurement_Subcontracting.md,"The YWCA/CUPE Local 2189 collective agreement ratification was stated as May 2026 - the actual ratification, confirmed via CUPE Ontario and TorontoToday direct reporting, was May 2025 (same month as the No-Board report/legal strike position, not a full year later). Found during a citation-quality spot-check pass, July 3, 2026. Corrected in MAIN_HMK_027. Note: MAIN_TRACK_003_Corrections_Log.md legitimately repeats the original wrong date as historical narration of what a prior pass believed at the time - not touched, per this library's own discipline against rewriting history."
COR-017,"Homes First.{0,30}overhead|14.4%.{0,30}overhead|31%.{0,20}average overhead","Homes First.{0,80}14\.4%|14\.4%.{0,40}[Oo]verhead|31% average overhead|~28% avg|overhead averages 28%",21%|29% average overhead|corrected July 3,2026-07-03,MAIN_DERIV_011_Follow_The_Money.md,"Homes First's overhead was listed as 14.4% (administrative cost component only) while the other three operators in the same table (Fred Victor 31.3%, Dixon Hall 31.3%, Covenant House 33.1%) were confirmed, via direct Charity Intelligence lookup, to use Ci own combined admin+fundraising 'total overhead spending' metric. Ci own figure for Homes First on that same metric is 21%, not 14.4%. Corrected to 21% for internal consistency; this also corrected the 4-operator average from a previously-inconsistent 31%(headline)/28%(table+quote) to 29% throughout. Found during a citation-quality spot-check pass on a document explicitly built for direct public/social-media distribution."
COR-018,"92,965|social housing waitlist|RGI wait|104,239|100,500","92,965 people|100,500\+ active applica|92,965 famil","active applications|households|Q3 2024|HMK-025 Part 6|105,115",2026-07-04,MAIN_HMK_025_Social_Housing_Waitlist_Data.md,"The RGI waitlist unit question is RESOLVED via the City own quarterly Social Housing Waiting List Reports (fetched directly July 4 2026): all figures (92,965 / 100,361 / 104,239 / 105,115) are the SAME series of active-applications/household counts at different quarters - 92,965 is specifically Q3 2024, NOT a people-count (CBC wording was imprecise) and NOT a distinct count from the 100,500+ figure. Current: 105,115 (2025 year-end). Never write these as people-counts; never present 92,965 and 100,500+ as measuring different things. Corrected across HMK-002/004/007/008/025, REF-002, DERIV-005. Ledger: CL-016/161/311 corrected, CL-767/768 added."
