source_program,source_file,source_id,source_kind,question
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB49,bank,"[EXT] If intelligence itself becomes abundant, most of what a sovereign fund holds today — financial expertise, active management, credentialed analysis — reprices toward zero, and the things that STAY scarce (land, waterfront, energy generation, water, relationships, trust) become the only assets worth holding. So is ABUNDANCE's real job to convert every dollar of soon-to-be- cheap financial claim into the handful of things that stay scarce *before* the repricing hits — and what's the honest list, in acquisition order, of what Toronto should own by the time intelligence is cheap?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB50,bank,"[EXT] The acquisition-window question, honestly: if there IS a window (⚠️ this is his thesis, not a finding — the timing is contested and PROJ-0063 owns the context), does moving early mean buying assets at today's prices before an AI-driven asset boom, or does it mean the opposite — that a fund racing to accumulate during a bubble is exactly how sovereign funds get burned? What would tell us the window is real versus a story we're telling to justify urgency?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB51,bank,"[EXT] The last-gift's uncomfortable edge: if the fund's whole premise is ""acquire the commons before the repricing,"" is ABUNDANCE itself accumulating — the very thing his Seed 2 calls the root problem? Reconcile it honestly: a commons fund that hoards commons assets for the people is FLOW (held in trust, dividends and access flowing out) not HOARD (held for return, gains retained) — but what's the structural test that keeps a ""commons acquisition fund"" from quietly becoming just another accumulator with better branding?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB52,bank,"[EXT] What does a fund do that credentialed expertise USED to do, once expertise is cheap? If AI can run world-class portfolio analysis, sovereign-wealth strategy, and risk modeling for near-free, the fund's scarce value moves entirely to *governance, trust, and legitimacy* — the things AI can't confer. Does that mean ABUNDANCE's most important asset isn't its AUM at all but its trustee bench and its capture wall (AB33) — the human legitimacy that makes people trust the fund with the commons?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB53,bank,"[EXT] What is Toronto's honest fiscal starting position — the operating budget, the capital budget, the ⚠️ reserve and reserve-fund balances, the debt and debt-service load, and the structural gap the City covers with one-time measures each year? Before ABUNDANCE claims it can fund post-scarcity without new taxes, put the real municipal arithmetic on the wall: how much headroom actually exists, and how much of the ""fund the commons"" ask has to come from genuinely new value versus reshuffling money the City already spends?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB54,bank,"[EXT] What endowment logic does Toronto ALREADY run — the ⚠️ Toronto Foundation, the hospital foundations, the university endowments, the toronto-area pension capital — and what is the honest total already sitting in commons-adjacent long-term capital in this city? If billions already run on endowment logic (AB17), is ABUNDANCE's first move to build a new fund at all, or to federate and redirect the return-mandate of capital that already exists?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB55,bank,"[EXT] The unlock-rate baseline (AB25 made a number): what percentage of Toronto's already-built capacity actually flows — school gyms after 6pm, empty offices, idle church halls, underused civic buildings, ⚠️ vacant public land? Before a dollar is raised, what is the honest city-wide unlock rate today, and what would raising it 10 points be worth in avoided spending — the cheapest abundance, quantified?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB56,bank,"[EXT] The money-leaving-the-city baseline (the ABUNDANCE-scale version of LIVELIHOOD's extraction audit): how much money enters Toronto's public and household economy each year and how fast does it leak out to ⚠️ non-local banks, asset managers, platforms, and absentee owners before circulating locally even once? What is the city's honest ""money velocity,"" and which single plugged leak would keep the most value inside the commons — the honest figure, not the inflated buy-local claim?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB57,bank,"[EXT] The unclaimed-money baseline: waste streams, procurement inefficiency, unclaimed savings, energy burned as heat, ⚠️ dormant accounts and unclaimed balances. What is the honest total of money nobody has to be taxed to recover — the ""found money"" that AB8 and AB9 point at — and how much of it is real versus an accounting mirage that vanishes into next year's budget the moment you reach for it?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB58,bank,"[EXT] The fund manager's next role. If active management reprices toward zero (AB52) and the movement runs its own capital, what is the dignified transformation for Toronto's asset managers, analysts, and portfolio managers — from maximizing return for the few to stewarding the commons for the many? What does a world-class investment professional DO inside a fund whose north star is needs-met-without-money rather than AUM, and how do we make that role feel like a promotion of purpose, not a demotion of prestige?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB59,bank,"[EXT] The banker and the financial advisor as partners. His Seed 2 names bank fees as extraction — but the teller, the loan officer, the branch manager, and the fee-only fiduciary advisor are inside this system and most are not the enemy. What's the partners-never-adversaries transformation for them — public-banking and credit-union roles, commons-advisory roles, the ""financial guide who helps you need less"" instead of ""the salesman who helps you buy more"" — and which of these plugs the fee leak without pretending the risk-bearing and liquidity functions of banking simply vanish (the intermediary-honesty test applied to finance itself)?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB60,bank,"[EXT] The foundation, charity, and development-officer transformation. The city runs billions through charitable infrastructure (AB17) staffed by skilled, mission-driven people — grant officers, major-gift fundraisers, foundation program staff. If ABUNDANCE changes how giving works (sections O and P below), what is their next role — from raising money to designing FLOW, from managing scarcity-grants to stewarding an abundance commons? How do we transform the fundraising profession without destroying the very institutions and relationships we'll need to run the fund?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB61,bank,"[EXT] The exit ramp for extractive wealth — designed, not demanded. His Seed 2 is explicit: solutions must not trigger fear in ""those who have accumulated wealth and power through extraction — they need a way out."" So what is the actual instrument — a dignified, celebrated, legally-clean off-ramp that lets someone who built a fortune extractively convert it into commons legacy without shame, clawback, or public humiliation? What does the ramp look like such that a billionaire *wants* to walk down it, and how do we build it so it's a genuine transformation of their capital, not an indulgence that launders reputation while the extraction continues?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB62,bank,"[EXT] Dignity for the wealthy WITHOUT laundering the extraction. The hardest edge of AB61: the exit ramp cannot become a reputation-laundering machine where extractive fortunes buy clean legacies while the extractive business keeps running. Where exactly is the line between a genuine exit (the extraction STOPS, the capital converts) and a greenwash (the extraction continues, the philanthropy is PR)? What's the honest test the fund applies — and does refusing dirty money that wants to walk down the ramp cost the movement more than it can afford (the refused-money list, AB42, at the wealth-ladder scale)?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB63,bank,"[EXT] FLOW vs HOARD as the actual measured distinction. His own edge case answers his own question: the person giving $990k of a $1m day is not accumulating, they're a conduit. So is the honest metric not wealth or income at all but *flow-through rate* — what share of what passes through you moves back out to the commons and the world? Can ABUNDANCE define a clean, gameable- resistant flow-through measure, and does that single reframe dissolve his tension — accumulation isn't shameful, *hoarding* is, and the wealthy are invited to become high-flow conduits rather than shamed for having wealth?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB64,bank,"[EXT] Aspiration, never shame — the public framing rule. His private conviction (""accumulation considered shameful"") is sharper than anything that can ship publicly without triggering exactly the fear response his own seed forbids. So how does ABUNDANCE make FLOW *aspirational* — the celebrated, high-status, obviously-admirable thing — without ever running a shame campaign against HOARD? Is the answer that we never point at the hoarders at all, we only ever celebrate and elevate the flow-ers, and let the culture shift by aspiration the way SPORT and the practice-culture programs make virtue attractive rather than mandatory?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB65,bank,"[EXT] The generosity ladder — giving as a gamified practice (his practice-culture ethos, applied to FLOW). The movement makes virtue aspirational through visible progression (the Game of Life 3.0 skill-tree). Is there a *generosity ladder* — a dignified, opt-in, gate-nothing progression of flow-through, from the first gift to the high-flow conduit — that makes giving a practice people level up in rather than a tax they resent? How do we build it so it celebrates growth without turning generosity into a leaderboard, a status arms race, or the L33 ""should we even measure this"" trap (the CONNECTION Reciprocity-Ledger-Halved discipline applied to giving)?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB66,bank,"[EXT] Giving as practice, not transaction — the culture layer. The 99%-practice ethos says most people are always *practising*, never at mastery. Applied to generosity: most people are learning to give, learning to flow, and should be allowed to be beginners at it without shame. So what does a *practice culture of generosity* feel like — where flowing wealth is a skill you develop, grandmother-mentors model it, and the beginner giving their first small gift is honored exactly as much as the high-flow conduit? Is *that* how the virtue becomes aspirational — not a moral demand but a practice anyone can start today?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB67,bank,"[EXT] The religious and spiritual anchor on accumulation (the PROJ-0057 UNITY OF ACTION seam). His Seed 2 anchors the whole money conversation in ""almost every religious, spiritual and philosophy on the planet"": accumulation condemned near-universally, flow and generosity honored near-universally. ⚠️ This is well-documented terrain (the traditions' own texts on wealth, usury, tithing, zakat, dana, jubilee) but it crosses PROJ-0057 which owns the deep treatment. So the DESIGN question for ABUNDANCE only: does the fund draw its legitimacy and its FLOW-vs-HOARD framing from this near-universal moral anchor — making the fund not a financial novelty but the operationalization of what almost every"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB68,bank,"[EXT] The ESG materiality failure, turned into a design principle. His Seed 2 diagnosis is sharp and ⚠️ largely supportable by the evidence lane (single-vs-double materiality, ratings divergence, best-in-class-vs-absolute scoring): oil and gas companies score high ESG ""vs peers"" while fundamentally pillaging. So what does ABUNDANCE measure INSTEAD to avoid repeating the materiality failure — absolute impact not relative, double materiality not single, the real-world outcome not the disclosure? Is the fund's screen the inverse of ESG's mistake: never ""best in a bad class,"" only ""genuinely regenerative in absolute terms"" (Regen > Degen made into an investment rule)?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB69,bank,"[EXT] Impact and responsible investing, extrapolated honestly. His Seed 2 sends the fleet to ""explore impact investment, sustainable investments, responsible investments... and extrapolate into the future."" ⚠️ The evidence is mixed — real capital moving to real outcomes, tangled with impact-washing and concessionary-return debates. What does impact investing look like when it's the *default* mandate of a commons fund rather than a niche allocation — does ABUNDANCE refuse the market-rate-return framing entirely (the point is the impact, the return is the floor not the goal), and what breaks in fund solvency if it does?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB70,bank,"[EXT] Effective altruism, post-FTX, carried honestly. His Seed 2 points squarely at EA's territory — and the standing cautionary is unavoidable: ⚠️ FTX, the collapse, the harm done in EA's name. What does ABUNDANCE take from EA's genuine contribution (rigorous cost-effectiveness, ""do the most good per dollar,"" the honest number over the hoped-for one) while explicitly rejecting what FTX exposed (ends-justify-means, unaccountable concentration, longtermism as a license for present harm)? Is the honest lesson that EA's *arithmetic* is a gift and EA's *power structure* was the poison — and how does the fund keep one without the other?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB71,bank,"[EXT] The honest cost-effectiveness question, his own standing demand applied to giving. His voice always asks for the honest number over the hoped-for one. So does ABUNDANCE hold every gift, grant, and impact investment to a published cost-effectiveness test — dollars in versus real-world good out — even when the answer is uncomfortable (the beloved local program that does less good per dollar than a boring intervention elsewhere)? Where's the line between EA-grade rigor and the coldness that reduces a neighbour's dignity to a QALY, and does the fund need BOTH a measured-impact lane and an honored-but-unmeasured lane (the LIVELIHOOD do-not-measure list at fund scale)?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB72,bank,"[EXT] The money-removed ledger as ABUNDANCE's proudest number. His whole frame inverts the usual: success is measured by how LITTLE anyone needs, not how big the fund gets (the one-liner). So does ABUNDANCE publish a ""money removed from systems"" ledger *beside* its balance sheet — every dollar of need demonetized away, every extraction leak plugged, every essential made free — and is that ledger the number the movement is actually proud of, the balance sheet merely the means? What's the honest accounting rule so this ledger can't be gamed (claiming ""removed"" money that just moved somewhere less visible)?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB73,bank,"[EXT] The honesty rider, fund-wide (AB23 generalized). When money leaves a system, it was quietly funding something — research, cross-subsidies, jobs, unions, a nonprofit's overhead, someone's livelihood. What's the standing rule that forces ABUNDANCE to NAME what the removed money was doing and either fund it on purpose or own the loss out loud? Is the discipline that no ""money removed"" entry is allowed on the ledger until its shadow-funded dependencies are listed beside it — so demonetization never quietly defunds something the city needed?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB74,bank,"[EXT] Subtraction as the fund's cheapest revenue. AB1's numerator-vs-denominator question, made concrete: is the single highest-leverage thing ABUNDANCE can do not to raise a dollar but to *remove* the need for many — demonetize the food floor, transit, tool libraries, care — so the fund it needs shrinks faster than it could ever grow? Which subtraction is worth more than the entire health-data fund, honestly, and does the money-removed ledger prove that needing-least beats fund-size as the strategy (LIVELIHOOD's prosperity-as-needing-least, on the fund side)?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB75,bank,"[EXT] A fund designed to make itself unnecessary — is that even coherent? Every fund's institutional instinct is self-perpetuation; ABUNDANCE's premise (AB46) is the opposite — it's bridge financing that should shrink as the commons it builds takes over. So how do you build an institution whose success criterion is its own obsolescence, and what's the honest failure mode where the ""bridge"" fund entrenches itself, grows a bureaucracy, and outlives its purpose the way every temporary agency in history has? What structural device forces the bridge to actually retire?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB76,bank,"[EXT] What does ""turned off"" mean for a fund, honestly? AB46 asks it and it's genuinely hard: a fund can't just stop the way a service can. Does ""turned off"" mean the assets distribute into permanent commons ownership (land into CLTs, energy into co-ops, data-dignity into irrevocable public trust) and the fund's *management function* dissolves — the assets stay, the fund-as-manager ends? Or does the bridge stay standing as a maintenance body forever? What's the honest end-state, and is a fund that never ends actually a fund that failed its own thesis?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB77,bank,"[EXT] The fast-but-safe transition rule for money (bridges not cliffs). His parallel- system method: build new alongside old, keep the old as backup until it can be turned off, never trigger the meltdown. Applied to a fund, this means old-system dollars keep flowing until the commons can carry the load — but a fund racing to build the parallel economy could destabilize the very old system it depends on for its own capital. What's the honest interface — how does ABUNDANCE harvest old-system returns to fund the new economy without either moving so slow it never arrives or so fast it collapses the backup before the bridge is finished?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB78,bank,"[EXT] The planned obsolescence date — real commitment or comforting fiction? A bridge with no obsolescence date is just a permanent structure. But nobody can honestly name the year the commons carries the load. So does ABUNDANCE commit to *checkpoints* rather than a date (the LIVELIHOOD staged-trajectory mold) — at each checkpoint, what share of the commons is self- sustaining, how much smaller can the bridge get, and what evidence would tell us the bridge should START winding down versus keep growing? What checkpoint failure would honestly tell us the bridge is here to stay and we should say so?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB79,bank,"[EXT] A world-class trustee bench — what makes it world-class, and what makes it safe? His Seed 2 imagines convening world-class sovereign-wealth governance figures (vault-redacted) as trustees. World-class expertise is exactly what a commons fund needs and exactly what could capture it — the same people who ran extractive sovereign funds now steering a regenerative one. So what's the trustee-selection design that gets world-class competence WITHOUT importing the old model's values — is the test that a trustee must have visibly chosen FLOW over HOARD in their own life, and how do you verify that without it becoming a purity test that excludes everyone competent?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB80,bank,"[EXT] The governance innovation he asked for — ""let's innovate."" His Seed 2 explicitly wants ABUNDANCE to innovate on sovereign-wealth governance, not copy it. ⚠️ The reference designs (Norway's arms-length model and fiscal rule, ⚠️ Singapore's dual-fund structure, the Santiago Principles for sovereign-fund governance) are the standing precedents to study and BEAT. What's the genuinely new governance shape — participatory (AGORA runs allocation, AB34), commons-owned, capture-walled (AB33), obsolescence-planned (AB75) — that no existing sovereign fund has, and what does the fund gain by innovating that it couldn't get by copying Norway?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB81,bank,"[EXT] The trustee's role, transformed. Extending the role-transformation axis to the very top: a sovereign-wealth trustee's traditional job is fiduciary return-maximization for the state's beneficiaries. In ABUNDANCE, the beneficiary is the commons and the north star is needs- met-without-money. So what is the *transformed* trustee role — from return-fiduciary to commons- steward — and how do we recruit world-class governance talent into a role that asks them to optimize for something the entire profession was trained to treat as secondary? Is this the most senior version of ""partners, never adversaries,"" offered to the people at the very top of the old system?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB82,bank,"[EXT] The $0-for-me condition as trustee-bench law. His unredacted north-star: ""$0 for me please; I just want to ensure my wife and kids are taken care of."" Does that personal condition become the trustee bench's founding covenant — no trustee, no founder, no movement leader ever draws extractive personal wealth from the fund, family-provided-for the only permitted personal condition? How is that verified (not promised), and does it become the single clearest signal to the world that this fund is FLOW not HOARD — the people steering it took $0 for themselves?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB83,bank,"[EXT] What would it actually take for a Toronto child to never think about money? Play it forward concretely: a child never thinks about money when food, shelter, transit, care, learning, and play are all provisioned without a transaction they have to navigate. So what is the honest list of what has to be free-at-point-of-use for a child's whole world to be money-invisible, what does that cost the commons to provision, and is *the child's experience of money-invisibility* a cleaner, more honest north star for ABUNDANCE than any financial metric — the fund succeeds when a kid grows up in Toronto never once anxious about money?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB84,bank,"[EXT] Money-largely-invisible UX — the design question. His hope isn't necessarily *no* money but money made *invisible*. There's a real design tradition here (⚠️ money that fades into the background of provisioned life — the way you don't ""pay"" for a public library book or a breath of air). What does money-invisible UX look like for daily life in Toronto — and where does invisibility become dangerous (invisible money is easy to not-notice being extracted; the LIVELIHOOD surveillance-of-a-cashless-economy warning applies)? How do we make money invisible to the child without making extraction invisible to the adult?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB85,bank,"[EXT] The honest gap between ""no Toronto child"" and ""no child on earth."" His hope is planetary; ABUNDANCE is a city fund. Is the honest claim that Toronto demonstrates money- invisibility for its children so the world can copy the model (the standing ""Toronto demonstrates, the world copies"" thesis), or is a city-scale fund making a planetary promise it can't keep? What exactly does a Toronto fund owe the ""no child on earth"" hope — is it the proof-of-concept, the open-source blueprint, the export revenue that seeds other cities' funds — and where's the line between honest inspiration and overreach?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB86,bank,"[EXT] The rails-agnostic ruling, inherited and tested (AB32). DR3 ruled rails-agnostic, fiat-first: the mechanism must work in a credit union, crypto an option never a dependency. His Seed 2 presses harder — ""are there any viable solutions except global adoption of web3?"" So the DESIGN question for ABUNDANCE: does the fund inherit rails-agnostic as its standing prior (PROJ- 0062 tests it, doesn't assume it), and what would have to be TRUE in PROJ-0062's findings for ABUNDANCE to override rails-agnostic and commit to web3 rails — versus the honest likelihood that a commons fund is safest on boring, regulated, fiat-first infrastructure regardless of what crypto promises?"
abundance,research/abundance/QUESTION_BANK_EXTENDED.md,AB87,bank,"[EXT] The DAO as a governance option for the fund itself — design question, not endorsement. If PROJ-0062 finds DAOs viable, the DESIGN question is whether ABUNDANCE's own governance (the allocation loop, AB34; the trustee bench, AB79) could run partly as a DAO — transparent, programmable, capture-resistant by code. But ⚠️ DAO history includes governance capture by token-holders, low participation, and code-is-law disasters. So what would a DAO give ABUNDANCE's governance that a well-designed statutory trust plus AGORA deliberation can't — and is the honest answer that DAOs solve transparency but not legitimacy, and legitimacy is the fund's actual scarce asset (AB52)?"
