priority_rank,resource_id,url,claim_count,category,description,already_ingested_by_this_library
1,RES-0242,https://www.toronto.ca/legdocs/mmis/2026/bu/bgrd/backgroundfile-261532.pdf,15,City of Toronto (primary govt),BudgetTO 2026 Budget Notes — Toronto Shelter and Support Services (Current HSCIS Progress),yes
2,RES-0253,https://www.toronto.ca/wp-content/uploads/2025/05/903c-2024-TSSS-Annual-ReportAODA.pdf,11,City of Toronto (primary govt),TSSS 2024 Annual Report,yes
3,RES-0233,https://www.toronto.ca/legdocs/mmis/2025/au/bgrd/backgroundfile-252902.pdf,10,City of Toronto (primary govt),Toronto AG 2025 — Audit of TSSS Warming Centres and Winter Respite Sites,yes
4,RES-0259,https://www.torontoauditor.ca,9,Toronto Auditor General,Toronto AG Warming Centres 2025 (Tara Anderson),no
5,RES-0333,https://www.ontario.ca/public-sector-salary-disclosure/2025/all-sectors-and-seconded-employees/,8,Government of Ontario (primary govt),"Second LLM extraction - Dixon Hall/YWCA/Woodgreen/Neighbourhood Group/Sistering confirmed, Homes First/Covenant House absence flagged - see CL-505 through CL-512",no
6,RES-0354,https://homelesshub.ca/wp-content/uploads/2023/12/a23yhosi.pdf,8,Government of Ontario (primary govt),"2010 per diem staff report, foundational HMK-038 source - see CL-542, CL-544",no
7,RES-0236,https://www.toronto.ca/legdocs/mmis/2025/bu/bgrd/backgroundfile-252522.pdf,7,City of Toronto (primary govt),TSSS 2025 Budget Notes — Additional Content Mined,yes
8,RES-0107,https://www.amo.on.ca/sites/default/files/assets/DOCUMENTS/Reports/2026/MunisUnderPressure1YearUpdateReport2026-01-13.pdf,5,Other (www.amo.on.ca),AMO/HelpSeeker 2026 — Municipalities Under Pressure: One Year Later,yes
9,RES-0252,https://www.toronto.ca/wp-content/uploads/2025/04/979d-Strategic-Plan-Stakeholder-Engagement-Report-FULL.pdf,5,City of Toronto (primary govt),What We Heard: 2025-2030 Strategic Plan Stakeholder Engagement Report,yes
10,RES-0332,https://www.ontariosunshinelist.com/employers/dixon-hall,5,Government of Ontario (primary govt),"Dixon Hall - JS-rendering mechanism confirmed, plus 10-year trend delivery with a discrepancy flagged - see CL-504, CL-517 through CL-520",no
11,RES-0054,https://newtorontoinitiative.ca/home/the-big-picture,4,Other (newtorontoinitiative.ca),"New Toronto Initiative ""The Big Picture"" Sept 30 2025; City of Toronto 2024 Budget Notes backgroundf",no
12,RES-0081,https://secure.toronto.ca/council/agenda-item.do?item=2025.MM34.4,4,City of Toronto (primary govt),City of Toronto — Agenda Item 2025.MM34.4 and 2025.EX28.21,yes
13,RES-0208,https://www.thetrillium.ca/news/housing/ontarios-unofficial-estimate-of-homeless-population-is-234000-documents-9341464,4,News (other outlet),The Trillium (Pinkerton/Hauen) Aug 13 2024; corroborated by 8+ Village Media syndicated outlets,no
14,RES-0217,https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-system-flow-data/,4,City of Toronto (primary govt),City of Toronto — Shelter System Flow Data,yes
15,RES-0230,https://www.toronto.ca/legdocs/mmis/2024/bu/bgrd/backgroundfile-242343.pdf,4,City of Toronto (primary govt),2024 TSSS Budget Notes backgroundfile-242343; cross-confirmed by Task G What We Heard SMIS finding a,no
16,RES-0329,https://www.charityintelligence.ca/charity-details/350-homes-first,4,Sector nonprofit/network,Homes First/Covenant House/Fred Victor financial profiles - see CL-501,no
17,RES-0351,https://dixonhall.org/wp-content/uploads/2024/12/2024-Audited-Financial-Statements-as-at-March-31-2024.pdf,4,Sector nonprofit/network,Dixon Hall 2024 full statement precision - see CL-536 through CL-539,no
18,RES-0026,https://factchecktoronto.ca/tag/central-intake/,3,City of Toronto (primary govt),FactCheckToronto analysis of FOI 2020-01799 via Osgoode Hall Environmental Justice and Sustainabilit,no
19,RES-0039,https://homelesshub.ca/blog/2024/the-cost-of-inaction-healthcare-expenses-associated-with-homelessness-in-toronto/,3,Sector nonprofit/network,"ICES/Unity Health - Richard et al. BMC Health Services Research 2024:1074 - the SAME paper cited via two secondary summaries (CL-191, CL-449, CL-467) - corrected same-day from an initial mistaken independent-cross-validation framing",yes
20,RES-0082,https://secure.toronto.ca/council/agenda-item.do?item=2025.PH23.3,3,City of Toronto (primary govt),City of Toronto official council voting record; CBC Toronto July 24 2025; Progress Toronto,no
21,RES-0106,https://www.amo.on.ca/sites/default/files/assets/DOCUMENTS/Reports/2025/2025-01-08-AMOHomelessnessReportSummaryFinal.pdf,3,Other (www.amo.on.ca),AMO/HelpSeeker 2025 — Municipalities Under Pressure,yes
