slug,problem_id,strength
2slgbtq-inclusion-protection,H7,primary
accessibility-public-space-aoda,D7,primary
active-transportation-cycling,B3,primary
aging-well-home-care,E3,primary
ai-life-beyond-work,X01,primary
ai-public-good-adoption,H4,primary
ai-public-good-adoption,X01,secondary
ai-toronto-sovereignty-opportunity,X01,primary
ai-work-income-replacement,X01,primary
anti-black-racism-investment,H7,primary
arts-culture-creative-economy-spaces,H9,primary
automated-vehicles-av-policy,G1,primary
automated-vehicles-av-policy,X16,secondary
basic-income-livelihood-programs,G2,primary
basic-income-livelihood-programs,X06,secondary
basic-income-universal-services,G2,primary
basic-income-universal-services,X06,secondary
building-retrofits-climate-mitigation,F4,primary
bylaw-enforcement-property-standards,A5,primary
car-free-zones-pedestrianization,B2,primary
car-free-zones-pedestrianization,D1,secondary
child-care-access-affordability,C6,primary
citizens-assemblies-sortition,H8,primary
city-hall-democratic-reform,E1,primary
city-hall-democratic-reform,H8,secondary
city-workforce-labour-relations,F1,primary
clean-streets-neighbourhood-corps,D1,primary
climate-adaptation-stormwater-flooding,E2,primary
climate-resilience-floods-heat,E2,primary
community-land-trusts,C1,primary
community-municipal-renewable-energy,F4,primary
community-safety-crime-policing,A1,primary
community-safety-perception-gap,A1,primary
community-safety-wellbeing-plans,A3,primary
congestion-road-pricing,B1,primary
connection-community-belonging,X02,primary
coop-shared-equity-housing,C1,primary
cycling-bikeshare-scaling,B3,primary
dark-talent-future-of-work,X01,primary
dark-talent-future-of-work,X03,secondary
data-privacy-municipal-info-governance,F2,primary
deep-poverty-income-security,X06,primary
development-charges-building-permits,C4,primary
disability-accessibility-inclusion,H7,primary
disability-accessibility-inclusion,D7,secondary
disability-accessibility-universal-design,D7,primary
disability-accessibility-universal-design,H7,secondary
downtown-main-street-revitalization,D6,primary
education-reimagined-k12,X05,primary
egaming-esports-strategy,H9,primary
egaming-esports-strategy,D6,secondary
encampment-clearance-policy-costs,C2,primary
family-doctors-primary-care-crisis,X04,primary
fare-free-transit,B1,primary
fare-free-transit,X14,secondary
fire-paramedic-response,A2,primary
food-security-income-link,H2,primary
food-security-income-link,X06,secondary
gender-equity-womens-safety,H7,primary
gender-equity-womens-safety,A1,secondary
geopolitical-resilience-trade-shocks,X09,primary
gig-economy-precarious-work,X03,primary
government-corruption-transparency,E1,primary
government-that-works-basics,H5,primary
gun-gang-youth-violence-prevention,A6,primary
healthiest-population-prevention,X04,primary
heritage-preservation-built-form,D5,primary
homelessness-accountability-complaints,C2,primary
homelessness-advocacy-research-ecosystem,C2,primary
homelessness-advocacy-research-ecosystem,I1,secondary
homelessness-business-community-overlay,C2,primary
homelessness-business-community-overlay,D6,secondary
homelessness-daytime-destinations,C2,primary
homelessness-economic-roi,C2,primary
homelessness-economic-roi,C3,secondary
homelessness-encampments,C2,primary
homelessness-federal-funding-architecture,C2,primary
homelessness-federal-funding-architecture,E4,secondary
homelessness-full-cost-accounting,C2,primary
homelessness-full-cost-accounting,C3,secondary
homelessness-functional-zero-case-studies,I2,primary
homelessness-functional-zero-case-studies,C2,secondary
homelessness-gender-based-violence,C2,primary
homelessness-gender-based-violence,H7,secondary
homelessness-hospital-discharge-cycle,C2,primary
homelessness-housing-first-model,I2,primary
homelessness-housing-first-model,C2,secondary
homelessness-indigenous-overrepresentation,C2,primary
homelessness-indigenous-overrepresentation,F3,secondary
homelessness-international-comparators,I2,primary
homelessness-international-comparators,C2,secondary
homelessness-legal-rights-frameworks,C2,primary
homelessness-ltb-eviction-prevention,C5,primary
homelessness-ltb-eviction-prevention,C2,secondary
homelessness-master-recommendations,C2,primary
homelessness-mortality-overdose-data,C2,primary
homelessness-mortality-overdose-data,A4,secondary
homelessness-non-citizen-populations,C2,primary
homelessness-non-citizen-populations,E4,secondary
homelessness-political-economy,I1,primary
homelessness-political-economy,C2,secondary
homelessness-population-estimate-methodology,C2,primary
homelessness-population-specific-pathways,C2,primary
homelessness-provincial-funding-hpp-hart,C2,primary
homelessness-public-space-costs,C2,primary
homelessness-public-space-costs,D1,secondary
homelessness-refugee-claimant-exclusion,E4,primary
homelessness-refugee-claimant-exclusion,C2,secondary
homelessness-root-causes,I1,primary
homelessness-root-causes,C2,secondary
homelessness-ward-geographic-inventory,C2,primary
homelessness-youth-shelter-capacity,C2,primary
homelessness-youth-shelter-capacity,X11,secondary
housing-supply-affordability,C1,primary
immigration-diaspora-economy,X07,primary
immigration-integrity-exploitation,X07,primary
immigration-mutual-learning-integration,X07,primary
indigenous-priorities-suite,F3,primary
indigenous-priorities-suite,C2,secondary
indigenous-relations-reconciliation,F3,primary
indigenous-relations-reconciliation,C2,secondary
innovating-city-government-inertia,E1,primary
innovating-city-government-inertia,H5,secondary
intergenerational-connection,X02,primary
international-students-recent-grads,E4,primary
international-students-recent-grads,X07,secondary
joyful-city-nightlife-festivals,X02,primary
joyful-city-nightlife-festivals,H9,secondary
libraries-civic-commons,E5,primary
local-economy-main-streets-small-business,D6,primary
local-services-libraries-animal-control,E5,primary
long-term-care-seniors-services,E3,primary
mental-health-crisis-response,H1,primary
mental-wellbeing-flourishing,X02,primary
mobility-congestion-transit,B1,primary
most-educated-population-learning-city,X05,primary
municipal-autonomy-new-deal,X08,primary
municipal-climate-endowments,G3,primary
municipal-governance-accountability,E1,primary
nature-biodiversity-ravines,H6,primary
newcomer-settlement-shelter-pressure,E4,primary
newcomer-success-credential-recognition,X07,primary
ontario-works-rate-history-erosion,X06,primary
opioid-crisis-public-health-response,A4,primary
parking-policy-management,B4,primary
parks-recreation-access,D3,primary
participatory-budgeting-outcomes,H8,primary
police-accountability-oversight,A1,primary
pro-sport-ownership-civic-power,G4,primary
property-tax-municipal-finance,C3,primary
public-health-emergency-resilience,X10,primary
public-realm-cleanliness-maintenance,D1,primary
real-estate-financialization,C1,primary
real-estate-financialization,C5,secondary
regional-governance-gta,X08,primary
regional-transportation-integration,B5,primary
rental-market-tenant-protections,C5,primary
road-safety-vision-zero,B2,primary
shelter-central-intake-failure,C2,primary
shelter-cost-per-bed-night,C2,primary
shelter-cost-per-bed-night,C3,secondary
shelter-operator-case-studies,C2,primary
shelter-operator-financial-profiles,C2,primary
shelter-operator-financial-profiles,C3,secondary
shelter-procurement-subcontracting,C2,primary
shelter-security-contracting,C2,primary
shelter-security-contracting,A1,secondary
shelter-system-capacity-strain,C2,primary
shelter-workforce-conditions-labour,C2,primary
shelter-workforce-conditions-labour,F1,secondary
short-term-rental-regulation,C8,primary
social-housing-waitlist-data,C1,primary
social-housing-waitlist-data,C2,secondary
sports-recreation-active-city,D3,primary
sports-recreation-active-city,G4,secondary
tchc-vacancy-capital-backlog,C1,primary
urban-agriculture-food-systems,H2,primary
urban-agriculture-food-systems,D3,secondary
urban-beautification-public-art,H9,primary
urban-beautification-public-art,D1,secondary
utility-rates-water-hydro,C7,primary
utility-rates-water-hydro,X14,secondary
vacant-home-tax-effectiveness,C1,primary
vacant-home-tax-effectiveness,C3,secondary
warming-centres-winter-respite,C2,primary
waste-management-diversion,D2,primary
water-great-lakes-stewardship,H10,primary
water-wastewater-broadband-infrastructure,H10,primary
winter-maintenance-snow-ice,D4,primary
worker-cooperatives-community-wealth,X03,primary
worker-cooperatives-community-wealth,D6,secondary
youth-opportunity-post-jobs-belonging,X11,primary
